DEPARTMENT_ID,LAST_RANK,PREDICTED_LAST_RANK,FIRST_RANK,PREDICTED_FIRST_RANK,Mean_Actual,Mean_Predicted
103810435,30038,29812.348,11871,11812.992,20954.5,20812.67
103810444,182120,180865.86,33709,32989.8,107914.5,106927.83
103810453,413626,423519.8,279175,288256.78,346400.5,355888.3
103810462,8993,8613.13,3580,3741.5408,6286.5,6177.3354
103810489,222759,225589.36,125208,125845.22,173983.5,175717.28
103810498,12299,12723.11,7960,8036.0586,10129.5,10379.584
103810532,492899,501648.1,238875,245137.42,365887.0,373392.75
103810541,57131,58121.51,1656,1626.831,29393.5,29874.172
103810559,265209,262996.66,265209,264631.25,265209.0,263813.94
103810577,4956,5095.84,3615,3593.2783,4285.5,4344.559
103810586,192845,194167.25,138750,145981.22,165797.5,170074.23
103810595,109328,112284.12,49363,50942.156,79345.5,81613.14
103810602,319088,322128.44,75373,73247.32,197230.5,197687.88
103890042,26006,26366.96,5368,5458.2793,15687.0,15912.62
103890127,59657,58892.62,17733,17968.215,38695.0,38430.418
103890170,161964,162605.47,96930,103859.125,129447.0,133232.3
103890226,21451,21645.834,16683,16880.354,19067.0,19263.094
103890227,239413,239714.25,121959,119222.03,180686.0,179468.14
103890229,23783,24239.207,10035,9933.48,16909.0,17086.344
103890230,189111,191491.03,141214,147692.16,165162.5,169591.6
103910046,110063,107180.734,35262,35691.523,72662.5,71436.125
103910055,109839,107284.125,13429,12374.834,61634.0,59829.48
103910064,37153,37253.746,2250,2197.897,19701.5,19725.822
103910082,556116,560128.25,369187,376795.8,462651.5,468462.03
103910125,554385,564197.4,355932,363465.34,455158.5,463831.38
103910134,344850,344142.7,119283,121507.195,232066.5,232824.94
103910197,129579,131872.5,57753,60261.363,93666.0,96066.93
103910213,230499,230784.75,114011,118832.45,172255.0,174808.6
103910258,274171,274955.78,193245,205082.31,233708.0,240019.05
103910364,23284,23188.912,2609,2632.5176,12946.5,12910.715
103910373,175149,176185.78,76747,79250.92,125948.0,127718.35
103910434,721267,728590.8,185547,193260.17,453407.0,460925.5
103910443,18732,18838.084,8604,8598.511,13668.0,13718.297
103910452,276648,274901.25,206283,216247.1,241465.5,245574.17
103910479,891832,874035.75,107043,97822.4,499437.5,485929.06
103910585,125398,124750.42,50479,51100.832,87938.5,87925.625
103910594,299807,293807.62,88438,93038.88,194122.5,193423.25
103910601,906035,916916.8,228117,238406.97,567076.0,577661.9
103910628,812120,812798.8,251799,246991.52,531959.5,529895.2
103910637,84293,86589.805,47499,48196.754,65896.0,67393.28
103910646,269385,271213.66,203186,211063.12,236285.5,241138.39
103910707,1049738,1032380.4,128256,133806.34,588997.0,583093.4
103910716,525057,494384.38,288,588.93677,262672.5,247486.66
103910725,984917,957225.44,42376,38265.605,513646.5,497745.53
103910743,211313,215228.05,102047,106154.414,156680.0,160691.23
103910752,271268,272239.06,202094,209762.0,236681.0,241000.53
103910822,818882,824537.9,282580,291489.22,550731.0,558013.56
103910831,101932,104017.03,51557,50758.21,76744.5,77387.625
103910867,40929,42465.926,29208,29430.889,35068.5,35948.406
103910876,324206,325810.3,133082,140489.98,228644.0,233150.16
