DEPARTMENT_ID,PREDICTED_LAST_RANK,PREDICTED_FIRST_RANK,Mean_Predicted
102410036,112082.66,59766.23,85924.445
102410045,189488.19,125115.6,157301.89
102410054,130824.42,85630.8,108227.61
102410063,231654.22,138012.9,184833.56
102410072,326246.22,143921.52,235083.88
102410106,82665.35,36151.953,59408.652
102410115,250054.61,146114.94,198084.78
102410133,392816.97,133971.7,263394.34
102410151,276910.47,121711.31,199310.89
102410178,431409.1,146920.2,289164.66
102410188,356107.06,236668.56,296387.8
102410189,138890.83,94514.414,116702.625
102410190,51810.266,21594.08,36702.17
102410191,69958.66,21735.781,45847.22
102410192,235293.28,109055.85,172174.56
102410193,279328.88,168307.05,223817.97
102410194,85432.58,60115.797,72774.19
102410195,454555.6,180799.62,317677.62
102410196,265313.78,154133.73,209723.75
102410198,97332.55,51572.01,74452.28
102410199,360566.0,207633.39,284099.7
102510026,121567.0,67208.125,94387.56
102510035,90670.38,27526.412,59098.4
102510044,37374.953,12942.493,25158.723
102510123,685800.8,356725.0,521262.9
102510132,598685.3,138024.75,368355.03
102510141,660339.44,321116.88,490728.16
102510186,15580.774,6597.217,11088.996
102510247,489724.2,238366.73,364045.47
102510326,373241.2,162186.84,267714.0
102510335,71557.484,48831.91,60194.695
102510344,234670.3,156597.44,195633.88
102510353,856125.5,524918.1,690521.8
102510405,679181.5,425200.97,552191.25
102510414,181749.77,125607.21,153678.48
102510423,285541.5,202901.33,244221.4
102510441,706214.8,381389.38,543802.1
102510459,139104.64,89197.34,114150.99
102510592,335185.6,119350.695,227268.14
102510617,222266.5,154996.5,188631.5
102510626,242929.53,158049.94,200489.73
102510635,167030.39,64718.816,115874.6
102510644,376302.38,162449.39,269375.88
102510653,286821.8,181081.94,233951.88
102510705,829191.94,411104.53,620148.25
