University Id;Faculty Name
1029;Fen-Edebiyat Fakültesi
1029;Güzel Sanatlar Fakültesi
1029;Hukuk Fakültesi
1029;Ýktisadi ve Ýdari Bilimler Fakültesi
1029;Ýlahiyat Fakültesi
1029;Ýletiþim Fakültesi
1029;Kozan Ýþletme Fakültesi
1029;Mimarlýk Fakültesi
1029;Mühendislik Fakültesi
1029;Saðlýk Bilimleri Fakültesi
1029;Su Ürünleri Fakültesi
1029;Týp Fakültesi
1029;Ziraat Fakültesi
2026;Fen-Edebiyat Fakültesi
2026;Florence Nightingale Hastanesi Hemþirelik Yüksekokulu
2026;Saðlýk Bilimleri Fakültesi
2026;Týp Fakültesi
1030;Atatürk Saðlýk Bilimleri Fakültesi
1030;Diþ Hekimliði Fakültesi
1030;Eczacýlýk Fakültesi
1030;Fen Fakültesi
1030;Hukuk Fakültesi
1030;Ýktisadi ve Ýdari Bilimler Fakültesi
1030;Ýlahiyat Fakültesi
1030;Ýletiþim Fakültesi
1030;Mimarlýk Fakültesi
1030;Mühendislik Fakültesi
1030;Sezai Karakoç Edebiyat Fakültesi
1030;Sivil Havacýlýk Yüksekokulu
1030;Týp Fakültesi
1030;Veteriner Fakültesi
1030;Ziraat Fakültesi
1030;Ziya Gökalp Eðitim Fakültesi
3001;Bilgisayar ve Teknoloji Yüksekokulu
3001;Diþ Hekimliði Fakültesi
3001;Eczacýlýk Fakültesi
3001;Eðitim Fakültesi
3001;Fen ve Edebiyat Fakültesi
3001;Hukuk Fakültesi
3001;Ýletiþim Fakültesi
3001;Ýþletme ve Ekonomi Fakültesi
3001;Mimarlýk Fakültesi
3001;Mühendislik Fakültesi
3001;Saðlýk Bilimleri Fakültesi
3001;Týp Fakültesi
3001;Turizm Fakültesi
2012;Fen-Edebiyat Fakültesi
2012;Hukuk Fakültesi
2012;Ýktisadi ve Ýdari Bilimler Fakültesi
2012;Mühendislik Fakültesi
2012;Saðlýk Bilimleri Yüksekokulu
2012;Sanat ve Tasarým Fakültesi
1031;Buca Eðitim Fakültesi
1031;Denizcilik Fakültesi
1031;Diþ Hekimliði Fakültesi
1031;Edebiyat Fakültesi
1031;Fen Fakültesi
1031;Fizik Tedavi ve Rehabilitasyon Fakültesi
1031;Güzel Sanatlar Fakültesi
1031;Hemþirelik Fakültesi
1031;Hukuk Fakültesi
1031;Ýktisadi ve Ýdari Bilimler Fakültesi
1031;Ýlahiyat Fakültesi
1031;Ýþletme Fakültesi
1031;Mimarlýk Fakültesi
1031;Mühendislik Fakültesi
1031;Týp Fakültesi
1031;Turizm Fakültesi
1031;Uygulamalý Bilimler Yüksekokulu
1031;Veteriner Fakültesi (Kiraz)
1033;Akçakoca Bey Siyasal Bilgiler Fakültesi
